X0,X1,X2,output
1.0,-1.9949615715576492,-3.2413647092812288,0
1.0,-0.6297008572651128,-4.0201771133477875,0
1.0,-0.3178469065105834,-3.1656484634811037,0
1.0,-0.11093193562951016,7.248587669973216,1
1.0,0.4062266850499283,7.293073969173981,1
1.0,-1.4528494590723608,6.663182784913779,1
1.0,0.9763091264811027,6.583069156168338,1
1.0,0.4576764544288389,7.428355152227887,1
1.0,1.7704315165667186,7.507791306916909,1
1.0,1.065227082546918,6.793087558438007,1
1.0,0.2075982612857199,-2.5901613092102345,0
1.0,-0.4333034069025602,7.631627205925219,1
1.0,0.9882026105041117,-3.475414014765491,0
1.0,0.5354918099752046,7.653823991723195,1
1.0,-0.34320123663116797,6.391749461096261,1
1.0,-0.3090925091969218,6.6121709200282615,1
1.0,1.3232638071512366,-2.3585021393484484,0
1.0,-0.13229944394246262,7.171144304361296,1
1.0,0.9051219599565592,-2.607242207177182,0
1.0,-1.3001928415934398,-2.778113305437987,0
1.0,0.8719139888123928,-3.1865912746854366,0
1.0,0.07097241563974602,-2.9471641986226267,0
1.0,-0.6039043724845287,-2.255010242931203,0
1.0,0.3023482903316427,6.8243565207862265,1
1.0,0.2572074909801068,-2.9944997967369797,0
1.0,-0.4864327660523606,-2.6177996328064546,0
1.0,-0.9325916565610811,-3.174131547693122,0
1.0,0.8767546499523254,-2.575231224097184,0
1.0,-0.10849788856351314,-2.1839009805603045,0
1.0,0.012146509073225323,6.536559818650194,1
1.0,-1.2205701042818544,-2.8215754903493173,0
1.0,1.5700322805426723,6.895756733741883,1
1.0,0.17618092205232136,-3.099107515584838,0
1.0,1.266406855372875,-2.3141270405564964,0
1.0,-0.8559289178293682,-2.4537863183720376,0
1.0,-0.6991465780919173,6.643225713438549,1
1.0,-1.500768393207174,-3.771917995379571,0
1.0,1.8720056804723042,-2.9392258235795254,0
1.0,1.85996700648693,6.47969199025116,1
1.0,-0.31302370821644054,7.238976523210687,1
1.0,0.31776703243711857,-3.2860140110099523,0
1.0,-0.7101279579274838,-2.8808411421640576,0
1.0,-0.03963614203961917,-1.509122188833131,0
1.0,0.8038130513762585,6.98947015740327,1
1.0,-1.2708718068760398,-2.7442728511558347,0
1.0,0.23229615817640498,-2.947731098029609,0
1.0,1.8434137583205332,-2.5541249802783734,0
1.0,-0.40791535277129576,6.951861525861067,1
1.0,-0.6151336777713305,-3.121668253319114,0
1.0,1.1543543384089239,7.214931734053146,1
1.0,-0.6692027281812131,-2.6381099295686905,0
1.0,-0.07361111579190632,8.036619542577764,1
1.0,-0.1284121465397082,-2.0215037035978396,0
1.0,0.9491429877809984,6.788709450917712,1
1.0,1.2711382259809147,7.37048507036673,1
1.0,-0.35548864091635973,-2.4174759858599426,0
1.0,-0.5346627418500639,-2.551773100113901,0
1.0,0.6868485127659709,-2.843774604108481,0
1.0,0.4393271401034342,-2.5001449363031716,0
1.0,0.8725415914304794,6.815137135998199,1
1.0,0.9705238200132107,6.6550652143603095,1
1.0,1.65135098647949,-2.378051427515762,0
1.0,0.12855100007108114,-2.819502221210387,0
1.0,0.9520110938466946,-2.865187968337721,0
1.0,0.3573045419366339,-2.9898124434223767,0
1.0,0.05435057793857113,7.43873533667638,1
1.0,0.7706783295231111,6.653664291983919,1
1.0,0.3772962654604092,-2.3109566617495636,0
1.0,1.5162333229338962,6.59427960509468,1
1.0,0.9097381749598169,-2.7709193040402615,0
1.0,0.3620139119424706,-2.1282608133998107,0
1.0,-0.20245752583155116,-3.4247921533223216,0
1.0,0.8849904671866655,-2.081008280327703,0
1.0,0.08019871254081459,-2.2853834273785503,0
1.0,0.8539747110678559,6.960722548755058,1
1.0,0.5591092026145276,6.962774286958725,1
1.0,-1.2949424744798599,-2.3396259012246263,0
1.0,0.06965266451887907,7.471174379273322,1
1.0,0.16502279810933854,-3.0447266121211576,0
1.0,0.8287659776048749,-2.2157760434405698,0
1.0,0.02393181446583695,-3.016751805057516,0
1.0,1.3820046041719432,-2.5880477032030127,0
1.0,0.7708631014640396,7.166608276056808,1
1.0,-1.8973769824886577,-2.9989524013280775,0
1.0,-0.8931202736292231,-2.6014672712091884,0
1.0,-0.43951787547427723,7.51237506930239,1
1.0,0.015143278259864286,-1.403749798209809,0
1.0,-0.4467735117899077,6.956263115434933,1
1.0,0.9835043063584651,6.617488241884303,1
1.0,0.31245848109794744,6.757046642537195,1
1.0,1.8437157977518461,-3.041838560798972,0
1.0,0.08887300613174359,7.9596811749616245,1
1.0,1.476658625429629,6.864763347714504,1
1.0,-0.30386443543092717,6.979408922431973,1
1.0,0.6471626967870439,-2.306526441887935,0
1.0,-1.912706517064219,6.617293222334448,1
1.0,-1.3550579555179323,7.458956530108982,1
1.0,-0.1577239582541034,7.262566447087596,1
1.0,1.2049229217785742,7.261510237337042,1
